product_name,short_name,launch_date,total_cores,max_turbo_frequency,processor_base_frequency,cache,tdp
Intel® Xeon® 6533P-B Processor,6533P-B,Q1'25,32,3.9 GHz,2.2 GHz,128 MB,205 W
Intel® Xeon® 6543P-B Processor,6543P-B,Q1'25,32,3.3 GHz,2 GHz,128 MB,160 W
Intel® Xeon® 6546P-B Processor,6546P-B,Q1'25,32,3.5 GHz,2.3 GHz,128 MB,195 W
Intel® Xeon® 6553P-B Processor,6553P-B,Q1'25,36,4 GHz,2.6 GHz,144 MB,235 W
Intel® Xeon® 6556P-B Processor,6556P-B,Q1'25,36,3.5 GHz,2.3 GHz,144 MB,215 W
Intel® Xeon® 6563P-B Processor,6563P-B,Q1'25,38,4 GHz,2.4 GHz,152 MB,235 W
Intel® Xeon® 6706P-B Processor,6706P-B,Q1'25,40,3.5 GHz,2.5 GHz,160 MB,235 W
Intel® Xeon® 6710E Processor,6710E,Q2'24,64,3.2 GHz,2.4 GHz,96 MB,205 W
Intel® Xeon® 6714P Processor,6714P,Q1'25,8,4.30 GHz,4.00 GHz,48 MB,165 W
Intel® Xeon® 6724P Processor,6724P,Q1'25,16,4.30 GHz,3.60 GHz,72 MB,210 W
Intel® Xeon® 6726P-B Processor,6726P-B,Q1'25,42,3.5 GHz,2.3 GHz,168 MB,235 W
Intel® Xeon® 6728P Processor,6728P,Q1'25,24,4.1 GHz,2.7 GHz,144 MB,210 W
Intel® Xeon® 6730P Processor,6730P,Q1'25,32,3.80 GHz,2.50 GHz,288 MB,250 W
Intel® Xeon® 6731E Processor,6731E,Q2'24,96,3.1 GHz,2.2 GHz,96 MB,250 W
Intel® Xeon® 6731P Processor,6731P,Q1'25,32,4.1 GHz,2.5 GHz,144 MB,245 W
Intel® Xeon® 6736P Processor,6736P,Q1'25,36,4.1 GHz,2 GHz,144 MB,205 W
Intel® Xeon® 6737P Processor,6737P,Q1'25,32,4 GHz,2.9 GHz,144 MB,270 W
Intel® Xeon® 6738P Processor,6738P,Q1'25,32,4.2 GHz,2.9 GHz,144 MB,270 W
Intel® Xeon® 6740E Processor,6740E,Q2'24,96,3.2 GHz,2.4 GHz,96 MB,250 W
Intel® Xeon® 6740P Processor,6740P,Q1'25,48,3.80 GHz,2.10 GHz,288 MB,270 W
Intel® Xeon® 6741P Processor,6714P,Q1'25,48,3.80 GHz,2.50 GHz,288 MB,300 W
Intel® Xeon® 6746E Processor,6746E,Q2'24,112,2.7 GHz,2 GHz,96 MB,250 W
Intel® Xeon® 6747P Processor,6747P,Q1'25,48,3.90 GHz,2.70 GHz,288 MB,330 W
Intel® Xeon® 6748P Processor,6748P,Q1'25,48,4.1 GHz,2.5 GHz,192 MB,300 W
Intel® Xeon® 6756E Processor,6756E,Q2'24,128,2.6 GHz,1.8 GHz,96 MB,225 W
Intel® Xeon® 6760P Processor,6760P,Q1'25,64,3.80 GHz,2.20 GHz,320 MB,330 W
Intel® Xeon® 6761P Processor,6761P,Q1'25,64,3.90 GHz,2.50 GHz,336 MB,350 W
Intel® Xeon® 6766E Processor,6766E,Q2'24,144,2.7 GHz,1.9 GHz,108 MB,250 W
